"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Antigua and Barbuda","ATG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65207960389527","0.647189028601104","0.648343129626178","0.644814806398815","0.651817328439452","0.653773879124637","0.6611328039369","0.661801298857896","0.668243390342963","0.668869283720607","0.646237678246093","0.641368984961152","0.635958514373152","0.61825632457897","0.61136300880253","0.619222124665681","0.603136272289344","0.609194521964615","0.623915035298437","0.631329421303544","0.633023535894341","0.626435809665256","0.677248636881511","0.686820259800663","0.709153722833704","0.755385646113644","0.762978924645319","0.775370774445711","0.768224861487407","0.760108374786804","0.756320453559489","0.759367428962504","0.755523321225804",
"Australia","AUS","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04994332492249","1.05741683874608","1.02028150470123","0.921086284429455","0.898806641300588","0.971930501930502","0.99501138466511","1.02255826802588","0.881077121345723","0.812727158791829","0.824003155136769","0.712430275378045","0.699280099746918","0.787407105416424","0.970814482856736","1.04368443407042","1.05019100058551","1.11998115725838","1.3242022500479","1.06211916394983","1.32438212341677","1.4898029406574","1.58813708930645","1.48463832585606","1.33345543379171","1.22610282953015","1.05560473092982","1.11433622258473","1.13974126437851","1.05841115312518","0.974665342942623","1.08038770954474","1.02979771338267",
"Austria","AUT","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11338254871112","1.08698055391868","1.16845229151014","1.10806932450018","1.13266232983978","1.27967380919885","1.21369378736678","1.05029428345924","1.02572476656292","0.98467725485174","0.8381275895451","0.826657993271261","0.850824401474903","1.00460956096353","1.09223703884595","1.09721173072685","1.07991543614117","1.18966950102393","1.25664877063125","1.17681000933164","1.11656232531667","1.15723540643969","1.04536573329375","1.05861765481608","1.06120244100745","0.886293320698828","0.859987342362259","0.875513078895296","0.90390612466745","0.838640895325489","0.85243352026615","0.894515958434094","0.767362860898836",
"Azerbaijan","AZE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.235706572291137","0.138100401098191","0.0145153731699357","0.0651192196834924","0.0603254853252922","0.135726303915098","0.172897383157642","0.20039265789534","0.202152708712472","0.191238873976664","0.19372025768692","0.186607945633082","0.183442259298978","0.190459425478651","0.202527539917379","0.234164396120339","0.267534796042842","0.328252125011078","0.429823577533623","0.354293498569369","0.398094137293055","0.485648453862554","0.469732882682486","0.458163379715279","0.452355844536281","0.368212340750167","0.270035424591589","0.293681653764906","0.32573219220211","0.319222789082664","0.291805377098622","0.339547560516168","0.435371828103398",
"Burundi","BDI","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.415909979784702","0.395105478345731","0.354802796908047","0.320366700759278","0.321434000330043","0.369780374806479","0.342867914908221","0.383435381624371","0.332534664882671","0.299498627522074","0.259199659670403","0.250182514267415","0.222029265444625","0.20954952892503","0.227062926525407","0.266317340979531","0.279359358873175","0.28003390742624","0.311415568537128","0.329434420355103","0.353228665379721","0.365965334988064","0.365373257047524","0.346803598057996","0.353723621628013","0.363038185531522","0.31638869103605","0.32518573416194","0.306048022406303","0.285263994038547","0.288641046701226","0.280677492581402","0.309666471754487",
"Belgium","BEL","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10229357798165","1.0734542232723","1.15289460476788","1.0884130130597","1.12496744634676","1.26579228243021","1.20861368078176","1.0458750563825","1.03976105801289","0.992608763176836","0.831195877364708","0.7993117369063","0.82576953447059","0.990973422436076","1.10498454978649","1.10946477581945","1.09780144138235","1.20446107050118","1.27505674607812","1.18570593161836","1.10911444908334","1.15798288641051","1.0562723043293","1.07068360720236","1.06308492661882","0.887608093474218","0.864503507062648","0.87621912963059","0.905091802995293","0.835800788494116","0.834120690051364","0.871308228069753","0.762492510947474",
"Benin","BEN","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.432518562684254","0.40682924912241","0.329718041669626","0.408301515988739","0.272195867798778","0.341323074971764","0.349649303511593","0.312300952180119","0.321520797021855","0.329869145905111","0.291669676468551","0.282050995912581","0.303630917134542","0.367099976048352","0.396161212628097","0.40066919387276","0.400487158861608","0.427287084850593","0.478871019852117","0.462702461165401","0.438396164138949","0.467764925623806","0.458331781921767","0.468672595361057","0.455779026570587","0.373003267723167","0.3618492011511","0.373324869642051","0.38366221431098","0.355859193495232","0.368720091076812","0.371306825004858","0.321100807828504",
"Burkina Faso","BFA","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.597280718776403","0.535462779142162","0.559244109511216","0.503297174341441","0.288113143059579","0.335136265616662","0.32224996684334","0.28196636132566","0.29776287791644","0.33039576312376","0.277685961329156","0.273772236800422","0.293303619216061","0.349187881404399","0.374291745723417","0.376539025719818","0.366203816899441","0.398891119294297","0.458495296375809","0.442434956573082","0.43123852648767","0.473456689100212","0.468074990294415","0.46786683553011","0.468501252901653","0.381277848247627","0.363136427235871","0.359519117186596","0.370955152283607","0.348567473019211","0.373220265641983","0.370136050038729","0.325513064550768",
"Bangladesh","BGD","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41206133484629","0.377347046336132","0.358388095958767","0.349706628749095","0.335557643329354","0.351272827996162","0.353410080643308","0.345419952816869","0.336477077774974","0.325152718646489","0.314329146339102","0.295956697922832","0.284466165544158","0.29278829499634","0.293229853071991","0.284637824167662","0.267704930571443","0.269893080212589","0.287504471345324","0.304144463869193","0.320231922370085","0.328812329856308","0.300622597020302","0.312338050421131","0.332201605133936","0.351132270629331","0.3641415442173","0.375842339328647","0.374147622146566","0.372354676790145","0.378233622232849","0.376834496287818","0.363405053031038",
"Bulgaria","BGR","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.313402144534038","0.175627521954806","0.175146402555403","0.181740993578102","0.156457615724779","0.29176416209707","0.214658190234377","0.2367457805124","0.294669163973608","0.285774466762278","0.252421659613398","0.254437622640909","0.268798144249996","0.323080650336759","0.368381594320642","0.378939397936565","0.396542652077222","0.459316157818553","0.506823003662239","0.492760429723296","0.458854267333478","0.498950358439408","0.455115990601639","0.461745275836938","0.44914285877725","0.385011258383091","0.377311278055734","0.390617115513147","0.410659071914912","0.392478510080458","0.404369515064901","0.436792340886287","0.412888499922163",
"Bahrain","BHR","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.317700238505348","0.301522674629346","0.284389935365856","0.269399148107934","0.283103843530601","0.280313668581912","0.275815022595074","0.273665656562957","0.251520995534187","0.254614374955152","0.323644163486088","0.305866308540391","0.311455521422476","0.331702260200173","0.358535383643346","0.395381630895774","0.417461869210314","0.440765611383165","0.481621844105146","0.416371432424146","0.442041734650585","0.475208770404471","0.466780063319713","0.48052392741467","0.489011169114011","0.496625266176588","0.50500273070437","0.497653485929713","0.507159084339816","0.49863616772134","0.462350263432697","0.489057625301803","0.492209318922918",
"Bahamas, The","BHS","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.981575754355461","0.973740546556638","0.989227024026273","0.958089007478488","0.958538739146451","0.946385625632376","0.938516431659982","0.940391569431727","0.958280227970277","0.99174805828287","0.978725498524475","0.960541335835463","0.983258929766123","0.975364592265309","0.961217184257297","0.979113140326327","0.957672327691758","0.959960979966455","0.955917210298231","0.939985391658485","0.925176637341311","0.89856344461441","0.915235459804535","0.903084576129913","0.904266655445099","0.936313271522522","0.924120187759399","0.901406764984131","0.883211991682907","0.90213320396831","0.869629460265295","0.840715500285052","0.768348004928145",
"Bosnia and Herzegovina","BIH","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.407144135037926","0.490673196608133","0.380619605949897","0.366947657410149","0.351925342764036","0.360438752319924","0.322753639901014","0.322276408333342","0.344405480123448","0.413587768335875","0.453524735293589","0.459988043746621","0.460893578304093","0.511548257425338","0.563856936310453","0.522170126171838","0.495861825475331","0.510443637296907","0.463764885532461","0.46580910156681","0.466163373729796","0.39358851828944","0.38208179485227","0.392231452316922","0.407023976313679","0.378119714816462","0.384025654027125","0.413510954748893","0.378613831056345",
